Hva er din alder?,I hvilket fylke ligger jobben din?,Hva beskriver best din arbeidssituasjon?,Er du ansatt i det offentlige eller private næringsliv?,"Hvor mange års relevant, formell utdannelse har du?",Hvor mange års relevant arbeidserfaring har du?,Hva jobber du mest med?,Har du en av disse begrepene i stillingstittelen din? ,"Hva er din grunnlønn? (årslønn før skatt, uten eventuelle bonuser eller overtidsbetaling)","Er du organisert? (Altså medlem av en forening som Tekna, El&it, Nito osv)",Pleier du å få mer utbetalt enn grunnlønn på grunn av overtidsbetaling?,Har du en bonusordning hos din nåværende arbeidsgiver?,"Sist du gikk opp i lønn, hvordan skjedde det? (altså en helt ny lønn eller en lønnsjustering utover indeksregulering, sentrale oppgjør osv.)",Alt i alt - er du fornøyd med din egen lønn?,"Om du skal bytte jobb, hvilke goder kan være like viktig som lønn? ","""Skal jeg bytte jobb, skal jeg også opp i lønn.""","""Hvor mye man tjener avhenger av hvor flink man er i jobben sin.""","""Hvor mye man tjener avhenger av hvilken tittel man har.""","""Hvor mye man tjener avhenger av hvor gammel man er."" (Altså uavhengig av erfaring og fartstid i selskapet)","""Utviklere er blant de som tjener mest på arbeidsplassen min.""","""Jeg tror jeg hadde tjent mer nå om det ikke hadde vært for korona."" (for eksempel på grunn av manglende lønnsjustering, mindre aktuelt å bytte jobb, osv)","""Jeg synes man bør tjene mer om man jobber hjemmefra.""","""Jeg synes man bør tjene mindre om man jobber hjemmefra.""","""Jeg tror kjønn i seg selv spiller inn i hvor mye man tjener.""","""Om noen spør, synes jeg det er greit å fortelle kolleger hva jeg tjener.""","""Jeg synes det er greit å spørre kolleger hva de tjener.""","""Vi burde ha mer åpenhet på en arbeidsplass om hva vi tjener."""
25-29 år,Trøndelag,in-house,privat,5,5,fullstack,"""...ansvarlig...""","700 000,00 kr",Ja,Ja,Ja,Fagforeningen min hjalp meg,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,uenig,uenig,uenig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Vestland,in-house,ikke oppgitt,ikke oppgitt,4,fullstack,nei,"580 000,00 kr",Ja,Nei,Ja,Fagforeningen min hjalp meg,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,uenig,vet ikke/ikke aktuelt,uenig,enig,uenig,uenig,uenig,enig,enig,uenig,enig
25-29 år,Rogaland,konsulent,ikke oppgitt,ikke oppgitt,3,fullstack,nei,"500 000,00 kr",Nei,Nei,Nei,Fast lønnsjustering,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",enig,uenig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,enig,enig
25-29 år,Vestland,konsulent,privat,5,6,fullstack,"""...senior...""","750 000,00 kr",Ja,Nei,Ja,Jeg ba sjefen om mer lønn,Ja,"mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig
25-29 år,Oslo,in-house,privat,1,2,fullstack,nei,"550 000,00 kr",Nei,Nei,Nei,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,enig,uenig,uenig,uenig,uenig,uenig,enig,uenig,enig
25-29 år,annet,in-house,privat,5,4,fullstack,nei,"610 000,00 kr",Nei,Ja,Nei,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,enig,uenig,uenig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Vestfold og Telemark,in-house,ikke oppgitt,ikke oppgitt,2,fullstack,nei,"680 000,00 kr",Nei,Nei,Nei,Jeg ba sjefen om mer lønn,Ja,"mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,uenig,enig
25-29 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,4,fullstack,nei,"710 000,00 kr",Nei,Nei,Ja,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,enig,uenig,enig,uenig,enig,enig,uenig,uenig,uenig,uenig,enig
25-29 år,annet,in-house,ikke oppgitt,ikke oppgitt,6,fullstack,"""...senior...""","640 000,00 kr",Ja,Nei,Nei,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,enig,enig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig
25-29 år,Oslo,in-house,offentlig,4,4,fullstack,"""...senior...""","650 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,uenig,uenig,uenig,enig,uenig,enig
25-29 år,Oslo,konsulent,privat,5,5,fullstack,"""...senior...""","880 000,00 kr",Nei,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
25-29 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,6,fullstack,"""...senior...""","900 000,00 kr",Ja,Ja,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig
25-29 år,Rogaland,konsulent,privat,3,3,fullstack,"""...senior...""","1 050 000,00 kr",Ja,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",uenig,enig,enig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,enig,enig
25-29 år,Trøndelag,konsulent,privat,5,6,fullstack,nei,"585 000,00 kr",Ja,Nei,Ja,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,uenig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,vet ikke/ikke aktuelt,enig
25-29 år,Oslo,in-house,privat,0,5,fullstack,nei,"600 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig
25-29 år,Oslo,in-house,privat,0,6,fullstack,nei,"600 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,enig,uenig,uenig,enig,uenig,enig
25-29 år,Viken,konsulent,privat,3,6,fullstack,nei,"650 000,00 kr",Nei,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,vet ikke/ikke aktuelt,uenig,enig,uenig,uenig,uenig,uenig,enig,uenig,vet ikke/ikke aktuelt
25-29 år,Oslo,in-house,privat,5,3,fullstack,nei,"680 000,00 kr",Nei,Ja,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,uenig,enig,uenig,uenig,uenig,enig,enig,enig,enig
25-29 år,Trøndelag,konsulent,privat,5,3,fullstack,nei,"810 000,00 kr",Ja,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr, Trening",enig,uenig,enig,uenig,enig,uenig,uenig,uenig,uenig,enig,enig,vet ikke/ikke aktuelt
25-29 år,Oslo,in-house,privat,5,4,fullstack,nei,"850 000,00 kr",Ja,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Viken,in-house,ikke oppgitt,ikke oppgitt,7,fullstack,nei,"850 000,00 kr",Nei,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,uenig,uenig,uenig,enig,uenig,uenig,uenig,enig,enig,vet ikke/ikke aktuelt,enig
25-29 år,Trøndelag,in-house,privat,3,4,fullstack,nei,"700 000,00 kr",Nei,Ja,Ja,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,uenig,enig
25-29 år,Oslo,konsulent,privat,5,4,fullstack,nei,"890 900,00 kr",Ja,Ja,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Rogaland,konsulent,ikke oppgitt,ikke oppgitt,8,fullstack,"""...lead...""","775 000,00 kr",Nei,Nei,Ja,Jeg trua med å si opp,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,uenig,uenig,enig,uenig,uenig,enig,uenig,uenig,enig,uenig,enig
25-29 år,Rogaland,konsulent,ikke oppgitt,ikke oppgitt,8,fullstack,"""...lead...""","775 000,00 kr",Nei,Nei,Ja,Jeg trua med å si opp,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,uenig,uenig,enig,uenig,uenig,enig,uenig,uenig,enig,uenig,enig
25-29 år,Rogaland,konsulent,privat,3,3,fullstack,nei,"630 000,00 kr",Ja,Nei,Ja,Jeg trua med å si opp,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,uenig,enig
25-29 år,Oslo,frilans / selvstendig næringsdrivende,ikke oppgitt,ikke oppgitt,6,fullstack,"""...eier...""","660 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,enig,enig,uenig,enig,uenig,uenig,uenig,uenig,enig,uenig,enig
25-29 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,1,fullstack,"""...junior...""","574 168,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager)",enig,uenig,enig,uenig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,uenig,enig
25-29 år,Oslo,konsulent,privat,5,4,fullstack,"""...lead...""","730 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,uenig,enig,enig,uenig,uenig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Oslo,konsulent,privat,5,3,fullstack,"""...senior...""","735 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,enig,uenig,enig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Oslo,konsulent,privat,4,1,fullstack,nei,"510 000,00 kr",Ja,Ja,Nei,Sjefen tilbydde meg mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig
25-29 år,annet,in-house,privat,3,5,fullstack,nei,"585 000,00 kr",Ja,Ja,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,uenig,uenig,enig,uenig,uenig,enig,enig,enig
25-29 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,1,fullstack,nei,"595 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Rogaland,in-house,privat,5,1,fullstack,nei,"625 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,enig,uenig,uenig,uenig,uenig,enig,enig,vet ikke/ikke aktuelt
25-29 år,Oslo,konsulent,privat,3,5,fullstack,nei,"850 000,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,enig,uenig,uenig,enig,uenig,uenig,uenig,enig,enig,uenig,vet ikke/ikke aktuelt
25-29 år,Vestfold og Telemark,in-house,privat,1,4,fullstack,"""...junior...""","350 000,00 kr",Nei,Nei,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",uenig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,uenig,enig
25-29 år,Oslo,in-house,offentlig,3,1,fullstack,"""...junior...""","516 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,enig,uenig,enig,uenig,enig,enig,enig,enig
25-29 år,Viken,in-house,privat,3,1,fullstack,"""...junior...""","520 000,00 kr",Nei,Nei,Nei,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, firmahytter/ferieboliger, firmabil, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig
25-29 år,Rogaland,konsulent,ikke oppgitt,ikke oppgitt,1,fullstack,"""...junior...""","550 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmabil, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,uenig,uenig,enig
25-29 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,1,fullstack,"""...junior...""","580 000,00 kr",Nei,Nei,Nei,vet ikke/ikke aktuelt,Ja,"mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr",uenig,enig,uenig,uenig,uenig,uenig,uenig,uenig,uenig,enig,enig,enig
25-29 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,0,fullstack,nei,"540 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Ja,ingen spesielle,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,uenig,enig
25-29 år,Oslo,in-house,privat,8,8,ledelse/administrativt,"""...leder...""","620 000,00 kr",Nei,Nei,Ja,Jeg fikk ny stilling hos samme arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,uenig,enig,uenig,uenig,vet ikke/ikke aktuelt,enig,enig,enig
25-29 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,5,ledelse/administrativt,"""...leder...""","805 000,00 kr",Nei,Nei,Ja,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,fleksible arbeidstider,enig,enig,uenig,enig,vet ikke/ikke aktuelt,uenig,enig,uenig,vet ikke/ikke aktuelt,enig,uenig,enig
25-29 år,Vestland,in-house,ikke oppgitt,ikke oppgitt,3,ledelse/administrativt,"""...direktør...""","600 000,00 kr",Nei,Nei,Nei,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,enig,uenig,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,uenig,vet ikke/ikke aktuelt
25-29 år,Trøndelag,konsulent,ikke oppgitt,ikke oppgitt,3,ledelse/administrativt,"""...sjef...""","836 400,00 kr",Ja,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,enig,enig,enig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
25-29 år,Oslo,in-house,privat,3,8,ledelse/administrativt,"""...eier...""","600 000,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,enig,uenig,enig,uenig,enig,enig,enig,enig
25-29 år,Oslo,in-house,privat,4,3,maskinlæring,nei,"775 000,00 kr",Nei,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,uenig,uenig,enig,uenig,uenig,uenig,uenig,uenig
25-29 år,annet,in-house,privat,5,1,maskinlæring,nei,"585 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,enig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,uenig,enig
25-29 år,Oslo,in-house,ikke oppgitt,5,3,maskinlæring,"""...senior...""","850 000,00 kr",Ja,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,annet,uenig,enig,uenig,enig,uenig,uenig,uenig,uenig,uenig,uenig,uenig,uenig
25-29 år,Oslo,in-house,offentlig,3,1,programvare,nei,"525 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig,uenig,enig,uenig,uenig,enig,uenig,enig
25-29 år,Trøndelag,konsulent,privat,0,0,programvare,"""...junior...""","530 000,00 kr",Nei,Nei,Nei,vet ikke/ikke aktuelt,Ja,"firmabil, gode ordninger for gratis teknisk utstyr",enig,uenig,enig,uenig,uenig,uenig,uenig,uenig,enig,enig,enig,enig
25-29 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,2,programvare,nei,"645 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt,enig,uenig,vet ikke/ikke aktuelt
25-29 år,Trøndelag,konsulent,privat,8,3,programvare,nei,"925 000,00 kr",Nei,Ja,Ja,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",uenig,enig,uenig,uenig,enig,uenig,uenig,uenig,enig,uenig,uenig,uenig
25-29 år,Vestland,in-house,privat,3,3,programvare,nei,"430 000,00 kr",Nei,Nei,Nei,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,enig,enig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig
25-29 år,Trøndelag,in-house,ikke oppgitt,ikke oppgitt,0,programvare,nei,"525 000,00 kr",Ja,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,uenig,uenig,uenig,uenig,uenig,enig,uenig,uenig,enig,uenig,enig
25-29 år,Vestland,in-house,ikke oppgitt,3,3,programvare,nei,"680 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",enig,enig,uenig,uenig,enig,uenig,enig,uenig,enig,enig,enig,enig
25-29 år,Trøndelag,in-house,ikke oppgitt,ikke oppgitt,4,programvare,nei,"560 000,00 kr",Ja,Nei,Nei,Jeg fikk ny arbeidsgiver,Nei,"mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,uenig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,enig,enig
25-29 år,Viken,in-house,privat,5,2,programvare,nei,"612 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, Subsidiert kantine",enig,enig,enig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
25-29 år,Oslo,konsulent,privat,3,5,programvare,nei,"689 000,00 kr",Ja,Nei,Nei,Jeg ba sjefen om mer lønn,Ja,"mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,enig,uenig,uenig,uenig,enig,uenig,uenig,enig
25-29 år,Møre og Romsdal,in-house,privat,5,13,programvare,"""...senior...""","560 000,00 kr",Ja,Nei,Nei,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr",enig,uenig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,enig,enig,enig
25-29 år,Oslo,konsulent,privat,5,4,programvare,"""...senior...""","800 000,00 kr",Ja,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,uenig,uenig,enig,uenig,enig,uenig,uenig,enig
25-29 år,Viken,in-house,ikke oppgitt,ikke oppgitt,9,programvare,nei,"590 000,00 kr",Nei,Ja,Nei,Jeg trua med å si opp,Nei,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager)",enig,enig,uenig,enig,enig,enig,enig,uenig,vet ikke/ikke aktuelt,enig,uenig,enig
